post date	Summary and Description	post number
2023-12-08T06:19:05Z	"m11-out-of-order, which part of code prevents joins? Hi! I&#39;m still a little confused about cycles and joins and using path vs visited accumulator to prevent them. For the first-out-of-order function we did on Tuesday, I&#39;m not exactly sure which line in the code prevents joins. I understand that the (member num visited) line prevents cycles, but where in the code does it prevent joins, such as the one that is possible in this graph: 

(define (first-out-of-order map num0)
  ;; nn-wl is (listof Natural);   worklist of node numbers
  ;; visited is (listof Natural)
  ;; Numbers of nodes already visited in the tr. (first visited) is always
  ;; the previous node&#39;s number which implies visited is never empty
  (local [(define (fn-for-node n nn-wl visited)
            (local [(define num (node-number n))
                    (define nexts (node-nexts n))
                    (define nvisited (cons num visited))]
              (cond [(member num visited) (fn-for-lonn nn-wl visited)]
                    [(not (= num (add1 (first visited)))) num]
                    [else
                     (fn-for-lonn (append nexts nn-wl) nvisited)])))
          
          (define (fn-for-lonn nn-wl visited)
            (cond [(empty? nn-wl) false] 
                  [else
                   (fn-for-node (generate-node map (first nn-wl))
                                (rest nn-wl)
                                visited)]))]
    ;; must start at fn-for-lonn to satisfy visited invariant
    (fn-for-lonn (node-nexts (generate-node map num0))
                 (list num0))))"	1517
2023-12-08T06:15:03Z	"UNION IN GRAPHS -PROBLEM BANK GRAPHS-P1 Are we supposed to make functions like union? And how are supposed to know for example a graph follows one route over the other (lookup-room &#34;A&#34; ROOMS) ROOMS)              (list &#34;A&#34; &#34;B&#34; &#34;C&#34; &#34;E&#34; &#34;F&#34; &#34;D&#34;)) where it could be (list &#34;A&#34; &#34;D&#34; &#34;E&#34; &#34;F&#34; &#34;B&#34; &#34;C&#34;)


;; =================
;; Functions:

(@htdf all-reachable)
(@signature Room Map -&gt; (listof String))
;; produce names of rooms reachable from the given room

(check-expect (all-reachable (lookup-room &#34;F&#34; ROOMS) ROOMS)
              (list &#34;F&#34;))
(check-expect (all-reachable (lookup-room &#34;B&#34; ROOMS) ROOMS)
              (list &#34;B&#34; &#34;C&#34; &#34;E&#34; &#34;F&#34; &#34;A&#34; &#34;D&#34;))
(check-expect (all-reachable (lookup-room &#34;A&#34; ROOMS) ROOMS)
              (list &#34;A&#34; &#34;B&#34; &#34;C&#34; &#34;E&#34; &#34;F&#34; &#34;D&#34;))

;; ordinary recursion:

(@template-origin genrec arb-tree accumulator)
#;
(define (all-reachable r0 map)
  ;; path is (listof String); context preserving accumulator, names of rooms
  (local [(define (fn-for-room r path) 
            (if (member (room-name r) path)
                empty
                (cons (room-name r)
                      (fn-for-lor (room-exits r) 
                                  (cons (room-name r) path)))))
          (define (fn-for-lor lor path)
            (cond [(empty? lor) empty]
                  [else
                   (union (fn-for-room (lookup-room (first lor) map) path)
                          (fn-for-lor (rest lor) path))]))

          (define (union l1 l2)
            (cond [(empty? l1) l2]
                  [(empty? l2) l1]
                  [else
                   (cons (first l1)
                         (union (rest l1)
                                (remove (first l1) l2)))]))]
    (fn-for-room r0 empty)))


;; tail recursive version:

(@template-origin genrec arb-tree accumulator)

(define (all-reachable r0 map)
  ;; rn-wl is (listof String);   worklist accumulator of room names
  ;; visited is (listof String); names of rooms already visited in the tr
  (local [(define (fn-for-room r rn-wl visited) 
            (if (member (room-name r) visited) 
                (fn-for-lor rn-wl visited)
                (fn-for-lor (append (room-exits r) rn-wl) 
                            (append visited (list (room-name r))))))
          (define (fn-for-lor rn-wl visited)
            (cond [(empty? rn-wl) visited] 
                  [else
                   (fn-for-room (lookup-room (first rn-wl) map)
                                (rest rn-wl)
                                visited)]))]
    (fn-for-room r0 empty empty))) 


"	1516
2023-12-08T06:08:53Z	"clarification on tail recursion I just wanted to clarify if I had a function like 
(define (hello lox)
  (local [(define (fn-for-lox)
          (cond [...]))]
  (fn-for-lox))
The entire function is tail recursive because there are no recursive calls to hello? and the local and cond are both in tail position also because there are no more expressions surrounding them?"	1515
2023-12-08T05:38:40Z	"NQueens 
(@htdd Position)
;; Position is Natural
;; interp. positions on the board
;;         if    N is the number of queens
;;         then  (sqr N) is the number of positions on the board
;;         so    this number should be in [0, (- (sqr N) 1)]
(define P1 0)        ;upper left corner of board
(define P2 (- 16 1)) ;lower left corner of 4x4 board

Looking at P2, it says that the lower left corner of a 4x4 board would be 15, but i cant seem to make a board with 0 in the top left and 15 in the bottom left work in my data analysis. I added my understanding of what a 4x4 board should look like, but it doesn&#39;t align with P2. Is this an error in the data definition? 

Screenshot_2023-12-07_at_8.28.54_PM.png"	1514
2023-12-08T04:18:15Z	"2022w1-f p3 I just want to confirm that questions similar to this one about path-wl won&#39;t be on the final exam since they are part of tandem-wl?

If this is not true, then I am wondering why my answer:

is wrong compared to the correct answer:


I am aware that every element in the outside list needs to be a list, but I&#39;m not exactly sure what each inside list would contain."	1513
2023-12-08T04:00:49Z	Do you need a termination argument when traversing a graph? Since functions for graphs have a generative step in the call to the lookup function, do you need to write a termination argument for them as well?	1512
2023-12-08T03:11:17Z	Question about template-origin I was solving problem bank questions for abstraction and in some solutions, the template origin only includes use-abstract-fn; in others, it also has the other inputs of the function. How do we know when we have to use only use-abstract-fn vs the other inputs (that are present in the signature)?	1511
2023-12-12T19:25:49Z	"Final Exam Office Hours Zoom sessions can also be joined via the Zoom tab in Canvas. All times listed are in Pacific Standard Time (PST).

TA(s)DayTimeLocation/LinkAshtan and SarahFriday, December 810:00-12:00DLC (ICCS X150) Table 3Edward and IsabelFriday, December 812:00-14:00DLC (ICCS X150) Table 3 and Zoom:
https://ubc.zoom.us/j/61558450018?pwd=a2FDZkwxZmRmeXpVWWlFNW1qNm44Zz09
Linh and SamrathFriday, December 814:00-16:00DLC (ICCS X150) Table 3Sean and TheresaFriday, December 816:00-18:00DLC (ICCS X150) Table 3 and Zoom:

https://ubc.zoom.us/j/61685219208?pwd=OFQ3Y1dHYlFxVGEvaUI2UGJFbno5dz09 

Abby and JiayinSaturday, December 909:00-11:00
DLC (ICCS X150) Table 3 and Zoom: https://ubc.zoom.us/j/69488043630?pwd=UDRVR2tsMTlLZGtrdU82TmhxbEZKUT09
Isabel and MarkSaturday, December 911:00-13:00DLC (ICCS X150) Table 3 and https://ubc.zoom.us/j/63373008116?pwd=S0FhZ0UxSjV2ZE9mWWFQSFJrRjExZz09Muhammad and MuslimSaturday, December 913:00-15:00
DLC (ICCS X150) Table 3 and Zoomhttps://ubc.zoom.us/j/63373008116?pwd=S0FhZ0UxSjV2ZE9mWWFQSFJrRjExZz09
Anrui and ShashwatSaturday, December 915:00-17:00
https://ubc.zoom.us/j/63373008116?pwd=S0FhZ0UxSjV2ZE9mWWFQSFJrRjExZz09
(Moved online due to the snow)
Blasius and MartinSaturday, December 917:00-19:00https://ubc.zoom.us/j/63373008116?pwd=S0FhZ0UxSjV2ZE9mWWFQSFJrRjExZz09David F and TanyaSaturday, December 919:00-21:00https://ubc.zoom.us/j/63373008116?pwd=S0FhZ0UxSjV2ZE9mWWFQSFJrRjExZz09Linda and TigheSunday, December 1009:00-11:00DLC (ICCS X150) Table 3Abigail and VictorSunday, December 1011:00-13:00DLC (ICCS X150) Table 3Jason and YuhengSunday, December 1013:00-15:00DLC (ICCS X150) Table 3Sean and ShashwatSunday, December 1015:00-17:00


https://ubc.zoom.us/j/6746261827?pwd=WElIcmcvNklzZVB5OUxsS1VmejRSUT09


Josh and JoySunday, December 1017:00-19:00https://ubc.zoom.us/j/63373008116?pwd=S0FhZ0UxSjV2ZE9mWWFQSFJrRjExZz09Caleb and David LSunday, December 1019:00-21:00https://ubc.zoom.us/j/63373008116?pwd=S0FhZ0UxSjV2ZE9mWWFQSFJrRjExZz09Sally and SamiMonday, December 1109:00-11:00DLC (ICCS X150) Table 3Isabel and KevinMonday, December 1111:00-13:00DLC (ICCS X150) Table 3 and https://ubc.zoom.us/j/63373008116?pwd=S0FhZ0UxSjV2ZE9mWWFQSFJrRjExZz09Jason and TerryMonday, December 1113:00-15:00DLC (ICCS X150) Table 3Jade and MinhMonday, December 1115:00-17:00DLC (ICCS X150) Table 3 and https://ubc.zoom.us/j/67278667808?pwd=dzF6RzJtVXV3U2dmMmQwYWZ6MGtZZz09Angelina and DennisMonday, December 1117:00-19:00https://ubc.zoom.us/j/66367567357?pwd=YjhRQS9UZkNjQWxRbjZiV29qQmlXZz09Nandita and PaulMonday, December 1119:00-21:00https://ubc.zoom.us/j/63373008116?pwd=S0FhZ0UxSjV2ZE9mWWFQSFJrRjExZz09Christie and WilliamTuesday, December 1209:00-11:00https://ubc.zoom.us/j/61060991949?pwd=Yi9UVEcvMGQvOTFjaGlMbkdxc0M3Zz09Boris and TheresaTuesday, December 1211:00-13:00https://ubc.zoom.us/j/61374309443?pwd=TmgyS3JHU1lLZURHOHRCa3pvNVpXUT09Ellen and TerryTuesday, December 1213:00-15:00DLC (ICCS X150) Table 4Desmond and GraceTuesday, December 1215:00-17:00DLC (ICCS X150) Table 4Pushya and WyattTuesday, December 1217:00-19:00https://ubc.zoom.us/j/63373008116?pwd=S0FhZ0UxSjV2ZE9mWWFQSFJrRjExZz09Marius and NanditaTuesday, December 1219:00-21:00https://ubc.zoom.us/j/63373008116?pwd=S0FhZ0UxSjV2ZE9mWWFQSFJrRjExZz09Christie and WilliamWednesday, December 1309:00-11:00https://ubc.zoom.us/j/61060991949?pwd=Yi9UVEcvMGQvOTFjaGlMbkdxc0M3Zz09Chris and KevinWednesday, December 1311:00-13:00DLC (ICCS X150) Table 3Ellen and KathrynWednesday, December 1313:00-15:00DLC (ICCS X150) Table 3Marie Samantha and WendyWednesday, December 1317:00-19:00https://ubc.zoom.us/j/63373008116?pwd=S0FhZ0UxSjV2ZE9mWWFQSFJrRjExZz09"	1510
2023-12-08T01:33:25Z	"2019 W1 F I seem to get this error, however when I run my code in the results tab, i runs and gives the correct value. 


(@htdf sop)
(@signature Natural (listof Number) -&gt; Number)
;; produce the sum of each element raised to expt p
(check-expect (sop 3 (list 5 9)) (&#43; (expt 5 3) (expt 9 3)))

(@template use-abstract-fn fn-composition)
(define (sop n lon)
  (local [(define (fn x) (expt x n))]
    (foldr &#43; 0 (map fn lon))))




Edit: NEVER MIND IT WAS @template instead of @template-origin."	1508
2023-12-08T00:51:11Z	"Nqueens next-boards function (define (next-boards bd)            (map (lambda (p2) (cons p2 bd))                 (filter (lambda (p2)                           (not-attacks-existing-queen? p2 bd))                         (build-list (sqr N) identity)))) ;all positions          (define (not-attacks-existing-queen? p bd)            (andmap (lambda (existing-queen)                      (not (attack? existing-queen p)))                    bd))
I&#39;m having a bit of trouble understanding exactly how the next-boards function works. So when given a Board, the function fills all squares with a queen, then it filters out the positions where a queen cannot be, and then uses map to add each possible position into a list?"	1507
2023-12-07T23:53:57Z	Tandem Worklists on Final In the lecture today, it was mentioned by Gregor and another student that the tandem worklist module will not be tested on the final. Is this true or did I misunderstand? When looking at the exam instructions, the content section &#34;The exam will cover all material in the course (all material means videos, lecture, problem sets, labs, lecture notes, etc.) with the exception of the HtDW module.&#34;  However, the lecture today mentioned that there is an exception for tandem worklists too. Is this true?	1506
2023-12-07T21:51:43Z	lambda on final For the final, do we still have the choice between using lambda or local?	1505
2023-12-07T18:21:17Z	Graph VS Tree Can someone please give me a rundown on the differences between graphs and trees? It was said in last lecture that all trees are graphs but not all graphs are trees, which i don&#39;t quite understand. What is the difference between them and why are all trees graphs but not all graphs are trees? 	1504
2023-12-07T18:20:06Z	wifi problem Hello, as I was attending the class my wifi had some issues which means I wasn&#39;t able to answer a few of the Iclicker questions. What can I do? 	1503
2023-12-07T18:01:18Z	Missed iClicker due to Wifi Issue I had a Wifi issue and was unable to join class until around 20 min in. Should I submit an academic concession form for this or join the afternoon class to make up for the missed iClickers? 	1502
2023-12-07T16:59:52Z	"2021 W1 F P-3 
;; ---- find-easiest-increasing-path-tr ----
#|
This function must use tail recursion. It consumes a from room name and
a to room name. It searches the graph for a path starting at the from room,
going to the to room, and where each stairs taken must have at least one more
steps than the previous stairs.  It there is no such path it produces false. 
Otherwise, it finds the path with the fewest number of steps, and for that 
path it produces the stairs labels on the path starting with the first stairs
and ending with the last stairs.
|#
(define feiptr-path-accumulator?    &#34;yes&#34;)
(define feiptr-visited-accumulator? &#34;no&#34;) 
(define feiptr-worklist?            &#34;no&#34;)
(define feiptr-tandem-worklists?    &#34;yes&#34;)
(define feiptr-try-catch?           &#34;no&#34;)
Above is the given solution.
Since it&#39;s a tail recursion, shouldn&#39;t the answer be Yes for the visited accumulator and worklist?
"	1501
2023-12-08T06:26:40Z	"LECTURE 21 So I changed the solved function to be (equal? p end) , is my alternate code acceptable or am i doing something wrong with the design rules? I am getting 88 percent on my autograder feedback

(require spd/tags)

(@assignment lectures/m11-maze-4-way-distance-from)

;replace ??? with your cwl


#|

 Jump down to problem 1 for more details.

|#


;; Solve simple square mazes

;; Data definitions:

(@htdd Maze)
;; Maze is (listof Boolean)
;; interp. a square maze
;;         each side length is (sqrt (length &lt;maze&gt;))
;;         true  (aka #t) means open, can move through this
;;         false (aka #f) means a wall, cannot move into or through a wall
;;
(define (open? v) v)
(define (wall? v) (not v))

(define O #t) ;Open
(define W #f) ;Wall

(define M1
  (list O W W W W
        O O W O O
        W O W W W 
        W O W W W
        W O O O O))

(define M2
  (list O O O O O
        O W W W O
        O W W W O
        O W W W O
        O W W W O))

(define M3             ;forces backtracking in this solver
  (list O O O O O
        O W W W W
        O W W W W
        O W W W W 
        O O O O O))

(define M4
  (list O O O O O
        O W W W O
        O W O O O
        O W O W W
        W W O O O))


(define M5
  (list O O O O O
        O W O W O
        O O O O O
        O W O W O
        W O O W W))

(define M6
  (list O O O O O O O O O O
        W W O W W O W W W O
        O O O W W O W O O O
        O W O O W O W O W W
        O W W O W O W O O O
        O W W O W O W W W O
        O W W O W O W O O O
        O W W O O O W O W W
        O O O O W W W O O O
        W W W W W O O W W O))

(define M7
  (list O O O O O O O O O O
        W W O W W W W W W O
        O O O W W W W O O O
        O W O O W W W O W W
        O W W O O O W O O O
        O W W O W O W W W O
        O W W O W O W O O O
        O W W O O O W O W W
        O O O O W W W O O O
        W W W W W O O W W O))



(@htdd Pos)
(define-struct pos (x y))
;; Pos is (make-pos Integer Integer)
;; interp. an x, y position in the maze.
;;         0, 0 is upper left.
;;         the SIZE of a maze is (sqrt (length m))
;;         a position is only valid for a given maze if:
;;            - (&lt;= 0 x (sub1 SIZE))
;;            - (&lt;= 0 y (sub1 SIZE))
;;            - there is a true in the given cell
;;                         ;in a 5x5 maze:
(define P0 (make-pos 0 0)) ;upper left
(define P1 (make-pos 4 0)) ;upper right
(define P2 (make-pos 0 4)) ;lower left
(define P3 (make-pos 4 4)) ;lower right


(@problem 1)

#|

In the following partially complete function design:

 - The next-ps function has been updated so to produce all valid
   moves chosen from up, down, left, and right of the given position.

 - ONE set of templates for fn-for-p and fn-for-lop uses ordinary recursion.

 - ONE set of templates for fn-for-p and fn-for-lop uses tail recursion.

 - Neither set of templates have accumulators to prevent cycling.

Complete the design of the function below. Note carefully that this 
function produces a natural if there is a path starting at 0,0 that first
passes through start, and then passes through end. The natural is the number
of steps from from start to end.  If there is no such path it fails.

Start by figuring out what addtional accumulator(s) you need and then
choose normal or tail recursion. Work with the right set of templates
and delete or comment out the others.

NOTE THAT WE HAVE PUT A USEFUL DATA DEFINITION AND A HELPER FUNCTION
CALLED distance-add1 in for you.

|#



(@htdf distance-from)
(@signature Maze Pos Pos -&gt; Natural or false)
;; if can start at 0,0, reach start, and then end, produce distance between them
;; CONSTRAINT maze has a true at least in the upper left
(check-expect (distance-from M1 (make-pos 1 1) (make-pos 1 4)) 3)
(check-expect (distance-from M1 (make-pos 1 1) (make-pos 4 1)) #f)

(check-expect (distance-from M2 (make-pos 0 0) (make-pos 4 4)) 8)

(check-expect (distance-from M7 (make-pos 2 2) (make-pos 3 3)) 2)
(check-expect (distance-from M7 (make-pos 2 0) (make-pos 7 2)) 11)


(@template-origin encapsulated try-catch genrec arb-tree accumulator)

(define (distance-from m start end)
  (local [(define R (sqrt (length m)))   

          ;; trivial:   
          ;; reduction: 
          ;; argument:


          ;; path is (listof Pos)
          ;; every position between 0,0 not including p, on
          ;; this path in the DATA (normal recursion)
          ;; dist is DISTANCE
          ;; false before reaching start
          ;; number of positions away from start after that
          
          (define (fn-for-p p path dist)
            (cond [(solved? p) (add1 dist)]
                  [(member? p path) false]
                  [else
                   (if (equal? p start)
                       (fn-for-lop (next-ps p) (cons p path) 0)
                       (fn-for-lop (next-ps p) (cons p path)
                                   (distance-add1 dist)))]))

          (define (fn-for-lop lop path dist)
            (cond [(empty? lop) false]
                  [else
                   (local [(define try (fn-for-p (first lop) path dist))]
                     (if (not (false? try))
                         try
                         (fn-for-lop (rest lop) path  dist)))]))


          ;; trivial:   
          ;; reduction: 
          ;; argument:


          #|
          (define (fn-for-p p p-wl)
            (cond [(solved? p) true]
                  [else
                   (fn-for-lop (append (next-ps p) p-wl))]))

          (define (fn-for-lop p-wl)
            (cond [(empty? p-wl) false]
                  [else
                   (fn-for-p (first p-wl) (rest p-wl))]))

          |#

          ;; Distance is one of:
          ;;  - false   (have not yet passed start)
          ;;  - Natural (distance from start including start)
          
          (define (distance-add1 dist)
            (cond [(false? dist) false]
                  [else (add1 dist)]))
          
          
          
          ;; Pos -&gt; Boolean          
          ;; produce true if pos is at the lower right
          (define (solved? p)
            (and (= (pos-x p) (pos-x end))
                 (= (pos-y p) (pos-y end))))


          ;; Pos -&gt; (listof Pos)
          ;; produce next possible positions based on maze geometry
          (define (next-ps p)
            (local [(define x (pos-x p))
                    (define y (pos-y p))]
              (filter (lambda (p1)
                        (and (&lt;= 0 (pos-x p1) (sub1 R))  ;legal x
                             (&lt;= 0 (pos-y p1) (sub1 R))  ;legal y
                             (open? (maze-ref m p1))))   ;open?
                      (list (make-pos x (sub1 y))        ;up
                            (make-pos x (add1 y))        ;down
                            (make-pos (sub1 x) y)        ;left
                            (make-pos (add1 x) y)))))    ;right

          ;; Maze Pos -&gt; Boolean
          ;; produce contents of maze at location p
          ;; assume p is within bounds of maze
          (define (maze-ref m p)
            (list-ref m (&#43; (pos-x p) (* R (pos-y p)))))]
    
    (fn-for-p (make-pos 0 0) empty false)))"	1500
2023-12-07T05:43:27Z	Small cycles in a graph Sorry just need to recall : How are we catching small cycles in mazes or graphs again?	1499
2023-12-07T04:30:51Z	Midterm 2 solutions and finals preparation Hi, I am trying to find the solutions to midterm 2 so I can look over questions I did not do as well on to prepare for the final. However, when I click on the link Gregor posted for ‘draft solutions’ it gives me a ‘Not Found’ URL error. I was wondering if there was a way to view the solutions.Thank you	1498
2023-12-07T04:29:10Z	Worklist Clarification Are worklist accumulators only useful in tail recursive functions? Or are they also useful for ordinary recursion?	1497
2023-12-07T03:15:16Z	"lecture note 20 

Sorry I am trying to understand how it traverses itself to the right using the subs and the path resets back to empty again would like someone to explain again, thank you!


"	1496
2023-12-07T01:21:48Z	"same-house-as-parent The following is my solution for problem 1 for same-house-as-parent. 

I have this check expect which is failing:


(check-expect (same-house-as-parent Wa) (list &#34;A&#34;))

(@htdf same-house-as-parent)
(@signature Wizard -&gt; (listof String))
;; produce name of every wizard in tree having same house as parent

(check-expect (same-house-as-parent Wa) (list &#34;A&#34;))
(check-expect (same-house-as-parent Wj) (list &#34;E&#34; &#34;F&#34; &#34;A&#34;))
(check-expect (same-house-as-parent Wk) (list &#34;E&#34; &#34;F&#34; &#34;A&#34;))

;(define (same-house-as-parent w) empty) ;stub

(@template-origin Wizard (listof Wizard) accumulator)

(define (same-house-as-parent w0)          

  ;; acc is String; house of given wizard&#39;s immediate parent
  
  (local [(define (fn-for-wiz w acc)
            (if (string=? acc (wiz-house w))
                (cons (wiz-name w)
                      (fn-for-low (wiz-kids w) (wiz-house w)))
                (fn-for-low (wiz-kids w) (wiz-house w))))
          
          (define (fn-for-low low acc)
            (cond [(empty? low) empty]
                  [else
                   (append (fn-for-wiz (first low) acc)
                           (fn-for-low (rest low) acc))]))]
    (fn-for-wiz w0 &#34;&#34;)))

I understand that the check expect is failing because acc is initialized to &#34;&#34;, but it is in the same house as its parent. In such a case do I change the check-expect to produce empty?"	1495
2023-12-07T01:03:56Z	defintions Why can&#39;t functions within local definitions contain tail recursive expressions? Why are they not treated as any other function definition?	1494
2023-12-07T00:58:12Z	Tail recursion It was mentioned that the mutually recursive functions are in tail recursion when the mutually recursive calls and the recursive calls are in tail position. Does this apply to both functions? For example, can one function in mutual reference be in tails recursion while the other is not?	1493
2023-12-06T20:34:51Z	"2021w1-f p2 since this is an HTDW problem, problems like this one won&#39;t be on the finals, right?
"	1492
2023-12-06T18:51:02Z	What happened here? (2019 w2 FINAL, problem 1) Hello!I am working on some practice problems and handed one in recentlyHowever, it seems like the autograder does not do anything and gives me a 100 instead of feedbackIs there something wrong with what I handed in or is the autograder for this question just broken?	1490
2023-12-06T09:48:20Z	iClicker Grade Calculations: 2 or 4 lowest grades dropped? I was wondering how many of our lowest iclickers would get dropped at the end of the course. The syllabus says that the 2 lowest iclicker grades get removed, however, Gregor mentioned in a lecture that the 4 lowest iclicker grades would get removed.	1489
2023-12-06T07:45:05Z	"Error in function &#34;generate-room&#34; I was trying to run the program and there was an error message in the function &#34;generate-room&#34; given by the starter. I didn&#39;t edit this part of the code


"	1488
2023-12-06T05:54:32Z	Remove Cooldown for practice exams Is it possible to remove the autograder cooldown for practice exams? As we are approaching the exam, we would like to get in as much practice as possible. The one hour cooldown makes it so (if we find a problem with our code right away after handing in), we have to wait a whole hour to submit again and see if we found the mistake. I understand the cooldown for problem sets (as we shouldn&#39;t be spamming the autograder) but for a practice exam, it may be beneficial to remove or at least reduce the cooldown time (maybe to 10 minutes like the labs).	1487
2023-12-06T05:25:50Z	compound worklist Hello, I just have a question regarding compound worklist accumulators. The videos in ed-x go over this but I heard that finals don&#39;t cover these anymore. Should we expect compound worklist? 	1486
2023-12-06T04:56:17Z	Why doesn&#39;t (member? empty empty) produce true? Hello! I was just wondering why (member? empty empty) produces false, as isn&#39;t an empty set a member of all sets?	1485
2023-12-06T03:50:37Z	"IMPORTANT: Wifi failure consequences The wifi failure this morning puts the morning class in a difficult situation.  They have to take time later in the day to watch the lecture, and they can&#39;t ask questions during the lecture.  This is especially frustrating since IT also messed up the Zoom room size the first day of class.

So I&#39;m going to make an additional accommodation -- that will apply to both sections:

- The first part of today&#39;s lecture, on an alternate way of representing graphs is material everyone needs to learn.  You&#39;ll need it for the problem set, and it will be considered as examinable material.

- BUT, tandem worklists will not be on this term&#39;s final exam.  It&#39;s a neat idea though, and the presentation of it in today&#39;s lecture is the simplest we&#39;ve ever done. So if you have time do look at it."	1484
2023-12-06T00:31:40Z	Zoom recording is up The zoom recording for today&#39;s lecture is up.	1483
2023-12-08T03:16:38Z	"Problem Set 11 Questions Ask all problem set 11 questions here.

NOTE that you are only permitted to ask questions that seek to clarify the problem description, or in cases of supposed errors with the starter.  Other questions will be deleted.

Students must not answer other student&#39;s questions about problem sets.

Problem 2 does not need to be completed as tandem worklists will not be on the final. @1484 and @1482_f6"	1482
2023-12-05T23:58:06Z	when will today&#39;s lecture be posted? When will the 12:30 lecture be posted for students in section 101	1481
2023-12-05T22:41:45Z	"edX Video 

This code is from edX Video Accumulator same-house-as-parent.

Problem:
In the Harry Potter movies, it is very important which of the four houses awizard is placed in when they are at Hogwarts. This is so important that in most families multiple generations of wizards are all placed in the same family. 
Design a representation of wizard family trees that includes, for each wizard,their name, the house they were placed in at Hogwarts and their children. Weencourage you to get real information for wizard families from:    http://harrypotter.wikia.com/wiki/Main_Page
The reason we do this is that designing programs often involves collectiondomain information from a variety of sources and representing it in the programas constants of some form. So this problem illustrates a fairly common scenario.
That said, for reasons having to do entirely with making things fit on thescreen in later videos, we are going to use the following wizard family tree,in which wizards and houses both have 1 letter names. (Sigh)

PROBLEM:
Design a function that consumes a wizard and produces the names of every wizard in the tree that was placed in the same house as their immediateparent.

I kept getting the error... can someone help me understand why I am kept getting error? 

Thank you!!
"	1480
2023-12-05T22:00:39Z	Lab 11 No Internet I attended Lab 11 from 3-6 pm on Monday. During that time, there were issues with the internet connection which took almost the first hour of the lab. I was very close to solving the questions but time ran out. I have seen that some students mentioned this, and you gave a grace period until midnight yesterday. However, I have not checked Piazza until today and did not see that you gave a grace period. Please give me suggestions on what I should do.	1479
2023-12-05T21:58:59Z	Final exam office hour Hi, have the office hour for final exam been decided yet?	1478
2023-12-05T20:58:10Z	Lab 11 content Did lab 11 utilize the content from today&#39;s class? If so, I had the lab yesterday without knowledge of tandem worklists - were we expected to know how to use tandem worklists without having learnt it yet?	1477
2023-12-06T02:35:55Z	"Changed my CWL username I&#39;ve just finished my last lab and I can&#39;t do the pset grading due to my changed CWL name.
The TA can&#39;t find my handin because I&#39;ve changed the CWL before pset10.
The problem is, I submitted my pset10 at 12.3 13:28 before the ddl, and I got a reported grade of 100 in the index of handin. Also, the TA cannot find my pset handing due to my changed CWL (after I&#39;ve asked). I&#39;ve changed my CWL username before pset10, and after lab9.

Is there any method I can get my 0 pset grade back?"	1476
2023-12-05T20:16:02Z	"MT2 problem 2 I'm looking at the solution and I dont quite understand why (id x) was defined, could someone please explain?
I've attached the solution below

(define (circles lon color)  (local [(define (*5     x) (* x 5))          (define (circ   x) (circle x &#34;solid&#34; color))          (define (circ*5 x) (circ (*5 x)))          (define (id x) x)]
    (map (λ (n) (build-list n circ*5)) lon)"	1475
2023-12-05T18:52:35Z	"Lectures Today - UPDATE It looks like UBC IT has now fixed the wifi problems and things are working again.

For Section 101: Please either directly attend the 12:30 pm lecture or watch the recording of that lecture afterwards.  This material is super important, you need it for the problem set and it is examinable.  You will get free clicker points.

For Section 102: We will meet as normal at 12:30.

I&#39;m really sorry about this problem for section 101.  I feel like UBC IT ruined our first lecture and ruined this next to last lecture.  Their response log on https://status.it.ubc.ca/ makes it clear that after yesterday&#39;s outage they seem to have gone home and not checked till close to 9 this morning.  You deserve much better.

"	1474
2023-12-05T18:13:24Z	Today&#39;s 9 30 lecture Hi, tried to join the lecture zoom but due to UBCsecure being down I couldn&#39;t follow what was said in lecture. Is it true that today&#39;s lecture will be recorded for us to watch later and the 9.30-11 am slot is used for office hours?	1473
